timestamp,network,mainers_created,total_cycles,total_paused,total_active,total_active_low,total_active_medium,total_active_high,total_active_very_high,total_paused_low,total_paused_medium,total_paused_high,total_paused_very_high
2025-06-28T14:50:25Z,prd,2,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:00:28Z,prd,2,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:00:59Z,prd,14,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:01:30Z,prd,22,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:02:01Z,prd,38,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:02:33Z,prd,43,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:03:04Z,prd,54,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:03:35Z,prd,59,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:04:06Z,prd,63,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:04:38Z,prd,65,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:05:09Z,prd,71,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:05:40Z,prd,75,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:06:12Z,prd,76,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:06:43Z,prd,76,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:07:14Z,prd,78,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:07:46Z,prd,79,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:08:17Z,prd,80,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:08:48Z,prd,81,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:09:20Z,prd,84,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:09:51Z,prd,85,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:10:22Z,prd,86,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:10:53Z,prd,88,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:11:25Z,prd,91,0,0,0,0,0,0,0,0,0,0,0
