timestamp,funnai_principal,bioniq_ckbtc_address,odin_user_id,kongswap_principal,x_post
6/25/2025 12:40:17,3brbz-wcqlb-juvgq-i7zut-24lmv-mve54-pm7x6-gkkp7-sjoey-kx6ge-3ae,doloo-6zc4e-f3ixq-4pe4o-jkl3k-cbizc-b3o6p-hwxwh-ft4tw-657xm-qqe,,,
6/24/2025 21:39:27,jhhtw-i735w-arzaf-mnkxa-4qx65-fecmc-3vrjm-m5zcn-levgh-uegn6-sae,,funnai-jhhtw-i735w-arzaf-mnkxa,,
6/26/2025 14:59:41,dnhys-4co2c-xgdcy-wu2m3-mctv2-mnzye-4gnnk-ugn6z-rndft-enddy-fqe,,funnai-dnhys-4co2c-xgdcy-wu2m3,,
6/24/2025 22:39:33,qhvia-unzwx-ewoal-5yepy-o577x-fc4dc-qzqm3-zqirv-j3icu-3h5jj-oqe,,,7jnvk-xks67-ce26n-5oyd5-2pex3-t4c55-hpfhp-grpdg-jxgd2-3n7c6-rqe,https://x.com/ICPDeGenX/status/1937702027997462889
6/24/2025 20:57:22,yfvx3-qjah6-3hjrp-nxene-a7xi5-yc2ss-mbqlq-hmm34-yk3jn-ac5te-lae,,iingw-uyfrf-533r7-q435f-vfqc4-rnjo4-wngk7-4m3lv-wpqm2-gh6ke-tae,,
6/24/2025 21:06:23,d4oba-yopqi-bcgqp-exkae-ilbm7-aiynx-muc4v-kqkuu-xedjx-g3clh-kqe,bygtw-ufxnc-4m6z3-sfy4d-kuyxc-qe3lk-5edhd-qlry2-kj2o7-d4izc-rae,,,
6/24/2025 21:23:31,xp4g4-eesw3-lts3a-kzln3-sqn6i-v6mhl-4qh4q-rpteo-67ogn-47j4c-mqe,67wpc-fzjsn-saqhc-uolxu-pui33-buptq-4fayq-hz6hx-kyjtf-sitqn-6qe,s76kq-sayr5-mx7zx-4k67e-gjwem-vo4ek-v4xru-bmb55-vwdkl-2maza-7qe,,
6/24/2025 21:37:58,4jkis-3hcvs-vpvzb-bbwsd-znesl-kqfak-ljqgz-4abhw-iemd5-vwoxr-7qe,52dkj-7d6ir-mb4h2-mz3af-nezk3-ljbuj-hxcle-cjt4o-yda2i-7dain-cae,52dkj-7d6ir-mb4h2-mz3af-nezk3-ljbuj-hxcle-cjt4o-yda2i-7dain-cae,2t4d6-zfrg6-ylwgs-ux5tz-q2d5g-g4ma2-q4czv-7zi3v-h7qav-7focr-rae,https://x.com/twitjhc
6/24/2025 21:39:40,dcp6m-uvdmp-elrig-wveka-3q5vl-oeqh3-zvdzt-nrajy-ahtt3-xonjc-rqe,ik2o2-eow6x-usct3-6gw2x-5fo2k-d7spv-wsak5-m2wdv-d6rds-fin3p-bae,,,https://x.com/RegtheeReal
6/25/2025 0:34:55,ivqni-2ipo2-grmfg-dn4ah-sfmcn-fb7wv-uh5px-w6ozt-za6up-3mak5-iae,rt6ys-l34ic-dhkbm-i3i2j-2vamf-xgf6h-zto65-3v32g-lbb3r-ctg34-4qe,,,
6/25/2025 3:51:32,qdvj3-4z5ui-axmdh-mq2yn-yjkw5-brggw-npp5l-jxkjt-dm4ms-5iayg-wqe,,,phrd2-aedml-v4p6k-pdhkj-xdrbi-bizzu-227fg-oze7n-nr5a5-shapw-jae,
6/25/2025 3:57:40,odlja-i3yhj-ue5t4-p2jtu-e6rit-veq6t-opwhu-4d2dm-o2znr-oe5mi-7ae,kktly-l5a25-hceu4-ualzf-d6krw-hye2g-byprk-s2pce-isp5h-udwuk-mqe,,,
6/25/2025 4:23:49,oyw6s-e7bvp-55ily-wli7r-st42q-57mnv-65pdx-p3u6k-k6plj-ewwzo-pae,ugia2-wu4rx-733uu-agj45-aw4ls-ririm-54ika-liimm-usqyw-6zmvb-cae,,,https://x.com/icpp_pro/status/1937673452195905632
6/25/2025 4:34:56,dno55-cf4cu-q2wwf-udihm-tq4ul-76yti-ywaee-khuyf-urcfy-r2vcz-hae,ttlvb-jw7a4-nduib-ttcrd-k2idc-hdc4g-ehqtl-qicgq-blbo3-vdqle-hqe,,,
6/25/2025 5:44:01,q6xeb-vsrs4-4z6fz-wkxhd-l42as-rmzia-2cuio-4pps7-b4hbj-qpwgh-pqe,wminx-zc5tt-733gy-7dqra-elwyc-3ehib-kx2lb-xjrsg-3xkf7-jetxg-zae,4bbns-zbajk-pg2eh-76uyc-pscw2-w7xso-lvgbs-uud7k-knmhh-dwoeg-3ae,,https://x.com/F_F_Coin/status/1937808886054236596?t=oVHG7UrVhjZMwG3jo7tBXQ&s=19
6/25/2025 6:01:55,z4xan-wvpsw-zmnxf-imfwd-stkai-j4zqh-tcai3-f6dum-uushn-z7dny-nqe,eifba-7rtqs-rii3e-6etcv-jlafa-4vlnk-elxem-5m7dd-36kle-ztg5b-pqe,,,https://x.com/onicaiHQ/status/1937666362497003916?t=NI5t3PsUk6G7ECxQv87h1g&s=19
6/25/2025 6:05:27,ykkt5-ze3s5-graih-sd7jx-bb4hp-vzdxe-bnksj-3psuy-szrnf-3rngj-hqe,dgvwc-igezk-mu6be-sfrip-p6vk6-zgfjw-6f7u2-aa4jz-ylv4p-mst74-3qe,3mi6o-vc3u3-3sjfo-pwdki-rtj22-7fdls-iik3r-utact-epjop-akriv-mae,,
