funnai_principal,kongswap_principal,iconfucius,iconfucius_icp_lp_share,iconfucius_ckusdt_lp_share
qhvia-unzwx-ewoal-5yepy-o577x-fc4dc-qzqm3-zqirv-j3icu-3h5jj-oqe,7jnvk-xks67-ce26n-5oyd5-2pex3-t4c55-hpfhp-grpdg-jxgd2-3n7c6-rqe,    59665.8,                   20.94,                          0
4jkis-3hcvs-vpvzb-bbwsd-znesl-kqfak-ljqgz-4abhw-iemd5-vwoxr-7qe,2t4d6-zfrg6-ylwgs-ux5tz-q2d5g-g4ma2-q4czv-7zi3v-h7qav-7focr-rae,        298,                       0,                          0
qdvj3-4z5ui-axmdh-mq2yn-yjkw5-brggw-npp5l-jxkjt-dm4ms-5iayg-wqe,phrd2-aedml-v4p6k-pdhkj-xdrbi-bizzu-227fg-oze7n-nr5a5-shapw-jae,     1810.9,                       0,                          0
wn7rp-bfj4y-lc4uy-pgt7p-3p7ev-qdf67-qnqhz-d23qu-jxvht-cc6uu-bqe,4aink-ahp5s-4tko5-bq3wr-7yk2l-cr7ko-etx3f-nz6c3-ax2vi-4lvbv-yqe,     1844.6,                   15.42,                          0
j76qs-q4yif-npuyk-xl53t-iaqhp-sungx-tpahq-zs66r-zdvwt-5aysa-kqe,oqmwk-joxtl-7k7is-oitsz-f7vh3-gl5hj-tytcy-5lztc-sg6vl-adb5x-fqe,      575.4,                       0,                     100.00
ewckx-7s4ek-p7enb-v4c3g-ahzo6-2uzra-4nhws-jaxkx-p5tw6-beolo-iae,vhuu4-ex7xy-ransp-5b6oy-nrfut-253ot-26v5x-sxstx-kd5bx-ia2oe-hae,      286.4,                       0,                          0
nr3bp-sg3xt-zv7yo-ndc2r-ra45e-lmd5c-gbvro-pvedr-3c556-mj3gd-6ae,u63qp-yzoak-eyxd2-z66t6-efwug-ymxyk-skusg-gaxgr-juodx-js244-pqe,     2275.6,                       0,                          0
soex4-tynbf-fkafr-s2zxp-2z3ac-c7iel-25uef-2lmc4-4lvhh-br77p-yqe,5e4dz-mxu3b-xwc5j-fipud-wagdn-l27zo-7lu3r-cxxle-a6p27-ozthe-xqe,     2906.8,                       0,                          0
kqohl-tlfyd-ez6m2-ihb3t-4swvd-vfuge-oo3gg-igg53-armkp-t67ky-yae,tozpi-z4twm-3tqa4-7uuyg-nnezm-jr6fo-a6qww-6gbxp-tid7g-b3sqv-4qe,      559.9,                       0,                          0
fxuru-fhmfa-fmxdi-tegwr-us4ic-z722k-ivnwk-sp7bf-mqpsy-wproi-yqe,yt6p7-5ladq-qfzuv-ras5a-xh4vb-it7pa-3ouor-p2p5a-glhev-fwmpl-bae,     3205.8,                       0,                          0
mjmna-cd2w2-hpzzg-y545f-7yyqf-4jt65-636t6-zxwin-ywm7n-k7kc6-xqe,hx6wd-yk23f-lblna-5a4xr-q6d5o-5q4ml-cstyq-fp74e-vnloo-c4xot-qae,      281.4,                       0,                          0
2fkbl-w6vfw-vjumq-teego-arg7t-hil5u-dyq7d-ted5t-33cuw-rked4-uqe,lvqbw-2k5j6-4d7cz-fyei5-qjuab-spmyv-i37kw-3narg-lw6p4-di63a-mqe,      515.1,                   44.13,                          0
qcrrl-k4uug-tgnhv-wj5st-l46cy-tyx7o-fpudp-6p73z-jhjlo-shqy5-7qe,gk3rk-qrzo7-ekril-iievt-7nj4g-2hspc-zisde-ra5rw-z5baf-sxdwc-iqe,    13654.8,                   16.16,                          0
nmunr-b6llq-wxet2-psnkg-zghte-ny2qz-fanir-bg5ib-3asmo-u5zzn-nae,xf45b-y2ry5-auc4e-e4bnu-lwnb2-efvwt-ep7qq-72a7f-4wv6i-odyfq-wqe,     1600.7,                       0,                          0
2udjv-asmqb-eo2w7-zskto-qspnq-xhjkb-2uytl-4ji3o-mnnkd-3uiec-oae,gbvjs-mvz5n-57may-ynmrc-sa6sm-fwfhi-xap5o-ets2v-fz6ls-w4bc4-pqe,      701.8,                       0,                          0
